"","ery1","ery2","ery3","ebMac1","ebMac2","ebMac3","spMac1","spMac2"
"Foxc2",0,0,0,0.407431234155018,0.592272424192553,0,0,0
"Foxd1",0,0,0,0,0,0,0,14.4529346643512
"Foxd2",0,0,0.564409064919629,0.407431234155018,0.296136212096276,0.360894275841418,0,0
"Foxd3",0,0,0,0,1.18454484838511,0,0,0
"Foxd4",0,0,0,0,0.296136212096276,0.360894275841418,0,0
"Foxe1",0,0,0,0.407431234155018,0,0,0,0
"Foxe3",0,0,0,0,0,0,0,0
"Foxf1a",0,0,0,0.407431234155018,1.48068106048138,3.60894275841418,0,0
"Foxf2",0,0,0,0,0,0,0,0
"Foxg1",0,0,0,0,0.296136212096276,0,0,0
"Foxh1",73.5594652814521,89.5795230518487,85.7901778677836,32.1870674982464,42.9397507539601,24.9017050330578,0,0
"Foxi1",0,0,0,0,0,0,0,0
"Foxi2",0,0,0,0,0,0,0,0
"Foxi3",0,0,0,0,0,0,0,0
"Foxj1",0,0,0,1.22229370246505,0.296136212096276,0.721788551682835,0,0
"Foxj2",264.192445729159,300.464650236409,262.450215187628,59.8923914207877,78.4760962055132,63.8782868239309,70.7973195812596,65.0382059895803
"Foxj3",209.281858969765,165.162245626846,177.788855449683,204.937910779974,183.012179075499,179.003560817343,30.3417083919684,65.0382059895803
"Foxk1",92.2083438035104,114.773763910181,118.525903633122,348.761136436696,385.865484361448,279.693063777099,227.562812939763,231.246954629619
"Foxk2",384.374107315757,403.107853733319,447.576388481266,526.808585762439,610.929005554618,493.342475075218,212.391958743779,86.7176079861071
"Foxl1",0,0,0,0,0.296136212096276,0,0,0
"Foxl2",0,0,0,0,0,0,0,0
"Foxl2os",0,0,0,0,0.296136212096276,0,0,0
"Foxm1",438.24864526837,511.349777420969,508.532567492586,506.437024054688,454.86522177988,418.637359976044,45.5125625879526,14.4529346643512
"Foxn1",0,0,0,0,0,0,0,0
"Foxn2",834.019289458718,877.132829882685,916.600321429478,347.946273968386,322.788471184941,338.879725015091,40.4556111892912,36.1323366608779
"Foxn3",18.6488785220583,13.9968004768514,23.7051807266244,66.411291167268,74.9224616603579,64.9609696514552,546.150751055431,397.455703269657
"Foxn4",0,0,1.12881812983926,0,0,0,0,0
"Foxo1",0,0,0,46.4471606936721,53.8967906015223,40.4201588942388,1046.78893952291,1091.19656715851
"Foxo3",8935.92095848626,9511.29248403639,9363.54638701665,607.072538890977,646.465351006171,560.829704657563,5.0569513986614,7.22646733217559
"Foxo4",1747.81433703957,1796.25606119592,1867.62959581905,283.572138971893,302.058936338202,292.68525770739,176.993298953149,231.246954629619
"Foxo6",0,0,0,0,0.592272424192553,0,0,0
"Foxp1",401.986937031034,469.359375990415,432.337343728436,259.126264922592,327.822786790578,244.32542474464,1532.2562737944,1886.10797369783
"Foxp2",0,0,0,0.814862468310037,2.07295348467393,0,0,0
"Foxp3",42.4780010780216,59.7196820345658,49.6679977129274,80.6713843626936,80.8451859022834,79.0358464092705,10.1139027973228,14.4529346643512
"Foxp4",23.8291225559634,27.9936009537027,32.7357257653385,204.530479545819,233.355335131866,182.251609299916,151.708541959842,224.020487297443
"Foxq1",0,0,0,0,0.296136212096276,0.360894275841418,0,0
"Foxr1",0,0,0,0,0,0.360894275841418,0,0
"Foxr2",0,0,0,0,0,0,0,0
"Foxred1",120.181661586598,114.773763910181,136.022584645631,195.159561160254,213.810345133512,223.032662469996,217.44891014244,361.323366608779
"Foxred2",84.9560021560433,60.6528020663559,75.6308146992303,51.7437667376873,60.4117872676404,42.2246302734459,0,14.4529346643512
"Foxs1",0,0,0,0,0,0,20.2278055946456,0
"Fpgs",33.1535618169925,21.4617607311721,19.1899082072674,278.682964162033,240.462604222176,238.190222055336,20.2278055946456,43.3588039930535
"Fpgt",95.3164902238534,83.047682829318,81.2749053484266,46.8545919278271,35.2402092394569,45.1117844801772,45.5125625879526,36.1323366608779
"Fpr-rs3",0,0,0,0,0,0,0,0
"Fpr-rs4",0,0,0,0,0,0,0,0
"Fpr-rs6",0,0,0,0,0,0,0,0
"Fpr1",0,0,0,11.8155057904955,23.0986245435096,23.8190222055336,546.150751055431,462.493909259238
"Fpr2",0,0,0,18.3344055369758,30.7981660580127,39.3374760667145,445.011723082203,289.058693287024
"Fpr3",0,0,0,0,0,0,0,0
"Fras1",0,0,0.564409064919629,41.5579858838119,48.8624749958856,28.510647791472,0,28.9058693287024
"Frat1",34.1896106237735,49.4553616848748,34.4289529600974,79.4490906602286,78.179959993417,76.1486922025391,25.284756993307,21.6794019965268
"Frat2",55.9466355661748,50.3884817166649,53.6188611673648,169.898824642643,166.132414986011,144.718604612408,5.0569513986614,50.5852713252291
"Frem1",0,0,0,4.07431234155018,8.29181393869574,5.77430841346268,0,14.4529346643512
"Frem2",0,0,0,2.03715617077509,7.40340530240691,2.52625993088992,0,0
"Frem3",23.8291225559634,13.9968004768514,13.5458175580711,0.407431234155018,0.296136212096276,0,0,0
